City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,kapadvanj,23.0167,73.0667,32.88,20,0,2.61,IN,1699692328
142,callao,-12.0667,-77.15,19.84,82,100,4.12,PE,1699692329
143,ancud,-41.8697,-73.8203,7.22,86,91,8.45,CL,1699692077
144,talnakh,69.4865,88.3972,-10.23,97,100,1.57,RU,1699692107
145,sarandi del yi,-33.35,-55.6333,18.73,99,100,3.5,UY,1699692039
146,olyokminsk,60.3736,120.4264,-8.01,82,98,3.79,RU,1699692133
147,anna regina,7.2644,-58.5077,27.6,79,36,5.04,GY,1699692332
148,nova vicosa,-17.8919,-39.3719,23.81,88,20,3.09,BR,1699692333
149,ilha de mocambique,-15.0342,40.7358,26.88,70,92,6.82,MZ,1699692334
150,broken hill,-31.95,141.4333,32.4,21,12,7.19,AU,1699692335
151,mammoth lakes,37.6485,-118.9721,-2.59,56,0,1.54,US,1699692085
152,hailar,49.2,119.7,-18.12,100,88,0.7,CN,1699692336
153,tshabong,-26.05,22.45,35.75,16,89,9.48,BW,1699692337
154,haiku-pauwela,20.9219,-156.3051,25.02,69,0,6.71,US,1699692338
155,grand-lahou,5.1367,-5.0242,27.34,80,47,4.69,CI,1699692339
156,revda,56.801,59.9303,2.0,99,100,1.03,RU,1699692339
157,punta arenas,-53.15,-70.9167,5.06,75,100,3.6,CL,1699691935
158,judenburg,47.1667,14.6667,3.4,93,75,1.54,AT,1699692342
159,ponnani,10.767,75.9252,31.62,66,38,2.38,IN,1699692343
160,okap,19.7578,-72.2042,25.87,81,51,4.27,HT,1699692344
161,huarmey,-10.0681,-78.1522,18.38,91,82,2.54,PE,1699692344
162,juan aldama,24.2908,-103.3944,13.03,86,85,0.4,MX,1699692345
163,kruisfontein,-34.0033,24.7314,22.19,55,47,8.52,ZA,1699692346
164,salina,38.8403,-97.6114,8.5,55,75,4.63,US,1699692347
165,chonchi,-42.6128,-73.8092,7.56,94,87,3.63,CL,1699692347
166,sao paulo de olivenca,-3.3783,-68.8725,22.89,98,60,1.14,BR,1699692348
167,chibougamau,49.9168,-74.3659,-5.21,86,100,3.6,CA,1699692348
168,saipan,15.1355,145.701,28.39,83,0,6.17,MP,1699692086
169,howrah,22.5892,88.3103,30.0,51,9,3.6,IN,1699692142
170,envira,-7.3,-70.2167,23.01,90,4,1.18,BR,1699692350
171,muli,2.9167,73.5667,28.0,75,100,4.01,MV,1699692351
172,kingston,17.997,-76.7936,27.53,69,20,1.03,JM,1699691736
173,antigonish,45.6169,-61.9986,4.9,91,23,1.34,CA,1699692352
174,manadhoo,5.7667,73.3833,28.17,74,80,2.61,MV,1699692353
175,belmonte,-15.8631,-38.8828,24.5,88,62,3.91,BR,1699692353
176,annaba,36.9,7.7667,17.98,59,75,4.12,DZ,1699692354
177,ndola,-12.9587,28.6366,30.92,31,84,3.98,ZM,1699692355
178,fort st. john,56.2499,-120.8529,0.94,69,100,4.12,CA,1699692115
179,lompoc,34.6391,-120.4579,13.85,90,0,4.02,US,1699692356
180,swan hill,-35.3378,143.5544,28.09,17,28,5.79,AU,1699692357
181,vilyuchinsk,52.9306,158.4028,1.15,99,100,2.0,RU,1699692357
182,wailua homesteads,22.0669,-159.378,25.44,86,100,7.2,US,1699692106
183,okhotsk,59.3833,143.3,-16.51,82,2,8.74,RU,1699692359
184,puerto armuelles,8.2833,-82.8667,27.27,84,95,3.13,PA,1699692301
185,campbell river,50.0163,-125.2446,9.74,98,100,2.45,CA,1699692360
186,pathein,16.7833,94.7333,30.4,69,97,2.18,MM,1699692361
187,vera cruz,-12.6333,-41.0333,20.22,85,20,1.51,BR,1699692362
188,usogorsk,63.4106,48.6872,0.37,96,100,3.8,RU,1699692362
189,nadi,-17.8,177.4167,26.0,65,75,7.2,FJ,1699692363
190,puerto san jose,13.9256,-90.8244,24.8,78,12,2.51,GT,1699692364
191,mount hagen,-5.8581,144.2274,20.42,68,20,3.6,PG,1699692365
192,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,100,4.0,RU,1699692365
193,egilsstadir,65.2653,-14.3948,-5.05,86,0,1.54,IS,1699692366
194,susuman,62.7833,148.1667,-29.81,99,91,0.12,RU,1699692367
195,kununurra,-15.7667,128.7333,33.99,52,18,7.72,AU,1699692367
196,batu pahat,1.8548,102.9325,28.45,77,99,1.9,MY,1699692368
197,mount pearl,47.5166,-52.7813,1.29,94,100,11.83,CA,1699692369
198,chekmagush,55.1319,54.6556,4.45,93,100,4.93,RU,1699692370
199,constantia,44.1833,28.65,17.61,67,44,6.79,RO,1699692371
200,enewetak,11.3474,162.3373,28.51,78,92,8.24,MH,1699692116
201,port mathurin,-19.6833,63.4167,25.39,78,12,4.06,MU,1699692372
202,macapa,0.0389,-51.0664,27.99,74,40,4.12,BR,1699692373
203,vanimo,-2.6741,141.3028,26.7,91,99,4.21,PG,1699692373
204,al mindak,20.1588,41.2834,18.78,28,29,2.16,SA,1699692374
205,piedras negras,28.7,-100.5167,13.48,89,100,1.56,MX,1699692376
206,san antonio de pale,-1.4014,5.6325,25.99,83,100,6.04,GQ,1699692140
207,maceio,-9.6658,-35.7353,21.69,100,40,1.54,BR,1699692377
208,sodankyla,67.4167,26.6,-8.74,97,46,1.85,FI,1699692378
209,yanqul,23.5905,56.5501,29.45,14,28,2.43,OM,1699692380
210,moree,-29.4667,149.85,28.72,33,12,1.1,AU,1699692381
211,chos malal,-37.3781,-70.2709,10.88,53,49,10.94,AR,1699692382
212,ulladulla,-35.35,150.4667,30.43,78,66,2.02,AU,1699692382
213,pechora,65.1472,57.2244,-4.52,97,86,1.79,RU,1699692383
214,klyuchi,52.2667,79.1667,7.68,61,97,4.11,RU,1699692178
215,mogocha,53.7333,119.7667,-9.59,60,48,1.68,RU,1699692384
216,mogadishu,2.0371,45.3438,29.93,84,40,5.14,SO,1699692135
217,alice springs,-23.7,133.8833,34.75,23,22,4.12,AU,1699691998
218,sal rei,16.1833,-22.9167,22.11,88,40,2.06,CV,1699692386
219,mapimi,25.8167,-103.85,14.03,87,40,2.22,MX,1699692387
220,dryden,49.7833,-92.7503,-2.84,86,100,3.6,CA,1699692387
221,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1699692388
222,gaigeturi,33.4644,126.3183,11.03,58,75,4.12,KR,1699692389
223,nar'yan-mar,67.6713,53.087,-4.94,94,100,8.05,RU,1699692389
224,ibotirama,-12.1853,-43.2206,22.51,60,5,1.19,BR,1699692390
225,jamestown,42.097,-79.2353,6.77,75,100,2.57,US,1699692028
226,duong dong,10.2167,103.9667,31.0,70,20,2.57,VN,1699692391
227,boulder city,35.9786,-114.8325,10.71,20,0,0.0,US,1699692392
228,codrington,-38.2667,141.9667,11.79,69,1,3.48,AU,1699692393
229,taounate,34.5,-4.8333,19.01,68,19,0.78,MA,1699692393
230,marsabit,2.3284,37.9899,23.68,57,100,7.06,KE,1699692394
231,freetown,8.484,-13.2299,22.84,100,75,3.09,SL,1699692395
232,talcahuano,-36.7167,-73.1167,11.82,94,100,6.69,CL,1699692315
233,mersing,2.4312,103.8405,29.95,79,40,2.57,MY,1699692397
234,vila franca do campo,37.7167,-25.4333,22.16,99,86,4.69,PT,1699692397
235,shohimardon,39.9839,71.8028,7.43,26,100,1.16,UZ,1699692398
236,utrik,11.2278,169.8474,25.82,93,100,7.51,MH,1699692160
237,ocean shores,46.9737,-124.1563,12.79,97,100,10.29,US,1699692400
238,tamanrasset,22.785,5.5228,24.95,10,0,1.03,DZ,1699692401
239,san sebastian de la gomera,28.0916,-17.1133,25.21,78,20,1.03,ES,1699692402
240,tougue,11.4667,-11.6,24.32,42,98,0.96,GN,1699692402
241,kourou,5.1552,-52.6478,25.62,90,19,3.62,GF,1699692403
242,mossel bay,-34.1831,22.146,21.96,66,43,6.32,ZA,1699692404
243,jiuquan,39.7432,98.5174,2.43,23,3,4.3,CN,1699692404
244,tralee,52.2704,-9.7026,6.36,90,100,2.79,IE,1699692408
245,portage la prairie,49.9728,-98.2926,-7.16,95,47,3.23,CA,1699692292
246,amga,60.8953,131.9608,-21.84,99,100,1.09,RU,1699692410
247,launceston,-41.45,147.1667,19.8,34,0,5.14,AU,1699692247
248,vyetka,52.5591,31.1794,7.77,84,100,6.0,BY,1699692412
249,uzgen,40.7699,73.3007,10.16,24,100,2.59,KG,1699692412
250,new norfolk,-42.7826,147.0587,14.95,56,1,1.75,AU,1699692413
251,george town,5.4112,100.3354,28.3,86,40,1.54,MY,1699692365
252,masterton,-40.9597,175.6575,8.27,93,0,0.95,NZ,1699692414
253,la passe,45.5549,-0.8967,10.55,77,37,2.82,FR,1699692415
254,novaya igirma,57.1334,103.9112,-10.45,84,2,1.21,RU,1699692416
255,hohhot,40.8106,111.6522,-3.84,36,0,5.0,CN,1699692416
256,vorgashor,67.5833,63.95,-13.46,91,16,2.05,RU,1699692417
257,east london,-33.0153,27.9116,24.52,60,75,12.35,ZA,1699692265
258,sao jose da coroa grande,-8.8978,-35.1478,25.74,73,71,4.74,BR,1699692418
259,galle,6.0367,80.217,28.55,73,32,2.87,LK,1699692419
260,lindley,-27.8791,27.9135,31.17,21,92,5.92,ZA,1699692420
